OM	w
0.059621204	-0.436836711
0.059625540	-0.441166989
0.059629875	-0.445497267
0.059634210	-0.449827545
0.059638545	-0.454157823
0.059642880	-0.458488101
0.059647215	-0.462818379
0.059651550	-0.467148658
0.059655885	-0.471478936
0.059660220	-0.475809214
0.059664555	-0.480139492
0.059668890	-0.484469770
0.059673226	-0.488800048
0.059677561	-0.493130326
0.059681896	-0.497460604
0.059686231	-0.501790882
0.059690566	-0.506121160
0.060855261	-0.380538279
0.060859597	-0.384868557
0.060863932	-0.389198835
0.060868267	-0.393529113
0.060872602	-0.397859391
0.060876937	-0.402189669
0.060881272	-0.406519947
0.060885607	-0.410850225
0.060889942	-0.415180504
0.060894277	-0.419510782
0.060898612	-0.423841060
0.060902947	-0.428171338
0.060907283	-0.432501616
0.060911618	-0.436831894
0.060915953	-0.441162172
0.060920288	-0.445492450
0.060924623	-0.449822728
0.060928958	-0.454153006
0.060933293	-0.458483285
0.060937628	-0.462813563
0.060941963	-0.467143841
0.060946298	-0.471474119
0.060950634	-0.475804397
0.060954969	-0.480134675
0.060959304	-0.484464953
0.060963639	-0.488795231
0.060967974	-0.493125509
0.060972309	-0.497455787
0.060976644	-0.501786066
0.060980979	-0.506116344
0.062145675	-0.380533462
0.062150010	-0.384863740
0.062154345	-0.389194018
0.062158680	-0.393524296
0.062163015	-0.397854574
0.062167350	-0.402184853
0.062171685	-0.406515131
0.062176020	-0.410845409
0.062180355	-0.415175687
0.062184691	-0.419505965
0.062189026	-0.423836243
0.062193361	-0.428166521
0.062197696	-0.432496799
0.062202031	-0.436827077
0.062206366	-0.441157355
0.062210701	-0.445487633
0.062215036	-0.449817912
0.062219371	-0.454148190
0.062223706	-0.458478468
0.062228041	-0.462808746
0.062232377	-0.467139024
0.062236712	-0.471469302
0.062241047	-0.475799580
0.062245382	-0.480129858
0.062249717	-0.484460136
0.062254052	-0.488790414
0.062258387	-0.493120693
0.062262722	-0.497450971
0.062267057	-0.501781249
0.062271392	-0.506111527
0.062275728	-0.510441805
0.063436088	-0.380528645
0.063440423	-0.384858923
0.063444758	-0.389189201
0.063449093	-0.393519480
0.063453428	-0.397849758
0.063457763	-0.402180036
0.063462098	-0.406510314
0.063466434	-0.410840592
0.063470769	-0.415170870
0.063475104	-0.419501148
0.063479439	-0.423831426
0.063483774	-0.428161704
0.063488109	-0.432491982
0.063492444	-0.436822261
0.063496779	-0.441152539
0.063501114	-0.445482817
0.063505449	-0.449813095
0.063509785	-0.454143373
0.063514120	-0.458473651
0.063518455	-0.462803929
0.063522790	-0.467134207
0.063527125	-0.471464485
0.063531460	-0.475794763
0.063535795	-0.480125041
0.063540130	-0.484455320
0.063544465	-0.488785598
0.063548800	-0.493115876
0.063553135	-0.497446154
0.063557471	-0.501776432
0.063561806	-0.506106710
0.063566141	-0.510436988
0.063570476	-0.514767266
0.064730836	-0.384854107
0.064735171	-0.389184385
0.064739506	-0.393514663
0.064743842	-0.397844941
0.064748177	-0.402175219
0.064752512	-0.406505497
0.064756847	-0.410835775
0.064761182	-0.415166053
0.064765517	-0.419496331
0.064769852	-0.423826609
0.064774187	-0.428156888
0.064778522	-0.432487166
0.064782857	-0.436817444
0.064787192	-0.441147722
0.064791528	-0.445478000
0.064795863	-0.449808278
0.064800198	-0.454138556
0.064804533	-0.458468834
0.064808868	-0.462799112
0.064813203	-0.467129390
0.064817538	-0.471459669
0.064821873	-0.475789947
0.064826208	-0.480120225
0.064830543	-0.484450503
0.064834879	-0.488780781
0.064839214	-0.493111059
0.064843549	-0.497441337
0.064847884	-0.501771615
0.064852219	-0.506101893
0.064856554	-0.510432171
0.064860889	-0.514762449
0.064865224	-0.519092728
0.066021250	-0.384849290
0.066025585	-0.389179568
0.066029920	-0.393509846
0.066034255	-0.397840124
0.066038590	-0.402170402
0.066042925	-0.406500680
0.066047260	-0.410830958
0.066051595	-0.415161237
0.066055930	-0.419491515
0.066060265	-0.423821793
0.066064600	-0.428152071
0.066068936	-0.432482349
0.066073271	-0.436812627
0.066077606	-0.441142905
0.066081941	-0.445473183
0.066086276	-0.449803461
0.066090611	-0.454133739
0.066094946	-0.458464017
0.066099281	-0.462794296
0.066103616	-0.467124574
0.066107951	-0.471454852
0.066112286	-0.475785130
0.066116622	-0.480115408
0.066120957	-0.484445686
0.066125292	-0.488775964
0.066129627	-0.493106242
